date,strike,option_type,expiry,close,implied_volatility,underlying_close,open_interest,volume
2025-12-04,27850.0,CE,2026-01-27,258.35,19.63796668507428,26033.75,0,0
2025-12-04,27850.0,PE,2026-01-27,1433.85,,26033.75,65,0
2025-12-04,27900.0,CE,2026-01-27,247.95,19.633834954976567,26033.75,0,0
2025-12-04,27900.0,PE,2026-01-27,1378.35,,26033.75,65,0
2025-12-04,27950.0,CE,2026-01-27,24.5,10.026409950725457,26033.75,84370,585
2025-12-04,27950.0,PE,2026-01-27,1541.8,,26033.75,65,0
2025-12-04,24150.0,CE,2026-02-24,2203.95,,26033.75,0,0
2025-12-04,24150.0,PE,2026-02-24,44.2,12.656377774470082,26033.75,34840,163
2025-12-04,24200.0,CE,2026-02-24,2161.1,,26033.75,0,0
2025-12-04,24200.0,PE,2026-02-24,47.25,12.620106041962309,26033.75,455,6
2025-12-04,24250.0,CE,2026-02-24,2118.6,,26033.75,0,0
2025-12-04,24250.0,PE,2026-02-24,118.35,15.828286544585653,26033.75,0,0
2025-12-04,24300.0,CE,2026-02-24,2076.35,,26033.75,0,0
2025-12-04,24300.0,PE,2026-02-24,125.4,15.838168545972009,26033.75,0,0
2025-12-04,24350.0,CE,2026-02-24,2034.45,,26033.75,0,0
2025-12-04,24350.0,PE,2026-02-24,132.75,15.847351017318456,26033.75,0,0
2025-12-04,24400.0,CE,2026-02-24,1992.9,7.841466868906748,26033.75,0,0
2025-12-04,24400.0,PE,2026-02-24,140.4,15.85558821702215,26033.75,0,0
2025-12-04,24450.0,CE,2026-02-24,1951.65,8.856570856959308,26033.75,0,0
2025-12-04,24450.0,PE,2026-02-24,64.15,12.372116421010148,26033.75,65,0
2025-12-04,24500.0,CE,2026-02-24,2210.0,20.937616216093012,26033.75,260,0
2025-12-04,24500.0,PE,2026-02-24,64.15,12.127024707317894,26033.75,93990,2030
2025-12-04,24550.0,CE,2026-02-24,1870.25,9.948101120899397,26033.75,0,0
2025-12-04,24550.0,PE,2026-02-24,165.55,15.88617134679002,26033.75,0,0
2025-12-04,24600.0,CE,2026-02-24,1830.1,10.320749011681965,26033.75,0,0
2025-12-04,24600.0,PE,2026-02-24,174.65,15.896617105935304,26033.75,0,0
2025-12-04,24650.0,CE,2026-02-24,1790.35,10.633518811194678,26033.75,0,0
2025-12-04,24650.0,PE,2026-02-24,72.35,11.770888860914997,26033.75,520,0
2025-12-04,24700.0,CE,2026-02-24,1750.95,10.900399050643175,26033.75,0,0
2025-12-04,24700.0,PE,2026-02-24,71.2,11.466836998716682,26033.75,1300,6
2025-12-04,24750.0,CE,2026-02-24,1711.95,11.13435135133461,26033.75,0,0
2025-12-04,24750.0,PE,2026-02-24,90.85,12.044803805009936,26033.75,2405,0
2025-12-04,24800.0,CE,2026-02-24,1704.0,12.541047661816974,26033.75,455,0
2025-12-04,24800.0,PE,2026-02-24,86.7,11.614205327575148,26033.75,8775,147
2025-12-04,24850.0,CE,2026-02-24,1693.3,13.596920644033334,26033.75,65,0
2025-12-04,24850.0,PE,2026-02-24,89.2,11.450859067357346,26033.75,260,0
